benchmark_id,family_role,property,gate_idx,group,phi
M1,magic_axis,magic,0,M,0.018997994879449354
M1,magic_axis,magic,3,X,0.0
M1,magic_axis,magic,4,E,0.0
M1,magic_axis,magic,5,X,0.08571911192068478
M1,magic_axis,magic,6,M,0.014438066858508116
M1,magic_axis,magic,7,M,0.0009706698697658477
M1,magic_axis,entanglement,0,M,5.827930730598988e-16
M1,magic_axis,entanglement,3,X,0.0
M1,magic_axis,entanglement,4,E,0.0
M1,magic_axis,entanglement,5,X,-1.114663916723657e-15
M1,magic_axis,entanglement,6,M,-1.3707553610705268e-16
M1,magic_axis,entanglement,7,M,1.887379141862766e-16
M2,magic_axis,magic,0,M,-7.223851146894353e-17
M2,magic_axis,magic,1,X,3.360275021198807e-16
M2,magic_axis,magic,2,E,0.0
M2,magic_axis,magic,3,X,-7.629452625224076e-16
M2,magic_axis,magic,4,M,0.13536324934075517
M2,magic_axis,magic,5,M,0.21651174617157637
M2,magic_axis,magic,6,M,0.010248542219471048
M2,magic_axis,magic,7,M,3.828048988907539e-16
M2,magic_axis,entanglement,0,M,1.6727360237685692e-17
M2,magic_axis,entanglement,1,X,0.0
M2,magic_axis,entanglement,2,E,0.0
M2,magic_axis,entanglement,3,X,-5.662137425588298e-16
M2,magic_axis,entanglement,4,M,2.637889906509372e-16
M2,magic_axis,entanglement,5,M,-6.972200594645983e-17
M2,magic_axis,entanglement,6,M,5.891583517344164e-17
M2,magic_axis,entanglement,7,M,2.5845992013273643e-16
M3,magic_axis,magic,0,M,0.044131767214313986
M3,magic_axis,magic,1,M,0.008602795980984925
M3,magic_axis,magic,3,M,0.00016164982812955927
M3,magic_axis,magic,4,M,0.2754451778623859
M3,magic_axis,magic,5,M,0.2749017170989285
M3,magic_axis,entanglement,0,M,1.4077627952246985e-16
M3,magic_axis,entanglement,1,M,3.326228181776969e-16
M3,magic_axis,entanglement,3,M,-2.922107000813412e-16
M3,magic_axis,entanglement,4,M,-1.5913196686293908e-16
M3,magic_axis,entanglement,5,M,2.2989018096571577e-16
M4,magic_axis,magic,0,E,0.0
M4,magic_axis,magic,1,M,0.29407787448524475
M4,magic_axis,magic,2,M,0.12490336561155431
M4,magic_axis,magic,3,M,0.1929528087084451
M4,magic_axis,magic,4,M,0.0588417194132377
M4,magic_axis,magic,5,E,0.0
M4,magic_axis,magic,6,X,0.1720143103978063
M4,magic_axis,magic,7,M,0.00746098238486029
M4,magic_axis,entanglement,0,E,0.0
M4,magic_axis,entanglement,1,M,5.151434834260727e-16
M4,magic_axis,entanglement,2,M,4.810966440042346e-17
M4,magic_axis,entanglement,3,M,2.581638606595031e-16
M4,magic_axis,entanglement,4,M,-1.687538997430238e-16
M4,magic_axis,entanglement,5,E,0.0
M4,magic_axis,entanglement,6,X,0.0
M4,magic_axis,entanglement,7,M,1.9984014443252817e-17
M5,magic_axis,magic,0,M,0.3221339718829964
M5,magic_axis,magic,1,X,0.0
M5,magic_axis,magic,2,E,0.0
M5,magic_axis,magic,3,X,0.2815910459192228
M5,magic_axis,magic,4,M,0.08117730044894345
M5,magic_axis,magic,5,M,0.33348614202951754
M5,magic_axis,magic,6,M,0.05059160983330023
M5,magic_axis,entanglement,0,M,0.0
M5,magic_axis,entanglement,1,X,0.0
M5,magic_axis,entanglement,2,E,0.0
M5,magic_axis,entanglement,3,X,0.0
M5,magic_axis,entanglement,4,M,0.0
M5,magic_axis,entanglement,5,M,0.0
M5,magic_axis,entanglement,6,M,0.0
E1,entanglement_axis,magic,0,M,-0.008176835880333263
E1,entanglement_axis,magic,1,M,0.013491126703556938
E1,entanglement_axis,magic,2,M,0.06777124175206153
E1,entanglement_axis,magic,5,E,0.0
E1,entanglement_axis,entanglement,0,M,-0.14541303097952724
E1,entanglement_axis,entanglement,1,M,0.007915108578495651
E1,entanglement_axis,entanglement,2,M,-0.33838760214945884
E1,entanglement_axis,entanglement,5,E,0.5279366684603833
E2,entanglement_axis,magic,0,M,-5.708026643939472e-16
E2,entanglement_axis,magic,1,M,0.2529060597965259
E2,entanglement_axis,magic,2,M,-0.010610477259901562
E2,entanglement_axis,magic,3,M,0.025800091180178036
E2,entanglement_axis,magic,4,E,-1.1812772982011666e-16
