benchmark_id,family_role,property,group,score,abs_share
M1,magic_axis,magic,E,0.0,0.0
M1,magic_axis,magic,M,0.03440673160772332,0.286422393359399
M1,magic_axis,magic,X,0.08571911192068478,0.713577606640601
M1,magic_axis,entanglement,E,0.0,0.0
M1,magic_axis,entanglement,M,6.344554511391227e-16,0.36272850372376436
M1,magic_axis,entanglement,X,-1.114663916723657e-15,0.6372714962762356
M2,magic_axis,magic,E,0.0,0.0
M2,magic_axis,magic,M,0.3621235377318029,0.9999999999999988
M2,magic_axis,magic,X,-4.269177604025269e-16,1.178928503450973e-15
M2,magic_axis,entanglement,E,0.0,0.0
M2,magic_axis,entanglement,M,5.281701002483411e-16,0.4826186933585825
M2,magic_axis,entanglement,X,-5.662137425588298e-16,0.5173813066414176
M3,magic_axis,magic,E,0.0,0.0
M3,magic_axis,magic,M,0.6032431079847429,1.0
M3,magic_axis,magic,X,0.0,0.0
M3,magic_axis,entanglement,E,0.0,0.0
M3,magic_axis,entanglement,M,2.5194661172160225e-16,1.0
M3,magic_axis,entanglement,X,0.0,0.0
M4,magic_axis,magic,E,0.0,0.0
M4,magic_axis,magic,M,0.6782367506033422,0.7976899785396753
M4,magic_axis,magic,X,0.1720143103978063,0.2023100214603248
M4,magic_axis,entanglement,E,0.0,0.0
M4,magic_axis,entanglement,M,6.726471231862282e-16,1.0
M4,magic_axis,entanglement,X,0.0,0.0
M5,magic_axis,magic,E,0.0,0.0
M5,magic_axis,magic,M,0.7873890241947576,0.7365797045316308
M5,magic_axis,magic,X,0.2815910459192228,0.26342029546836926
M5,magic_axis,entanglement,E,0.0,0.0
M5,magic_axis,entanglement,M,0.0,0.0
M5,magic_axis,entanglement,X,0.0,0.0
E1,entanglement_axis,magic,E,0.0,0.0
E1,entanglement_axis,magic,M,0.0730855325752852,1.0
E1,entanglement_axis,magic,X,0.0,0.0
E1,entanglement_axis,entanglement,E,0.5279366684603833,0.5259264759597366
E1,entanglement_axis,entanglement,M,-0.47588552455049044,0.4740735240402635
E1,entanglement_axis,entanglement,X,0.0,0.0
E2,entanglement_axis,magic,E,-3.552713678800504e-18,1.3251663592875993e-17
E2,entanglement_axis,magic,M,0.2680956737168018,1.0
E2,entanglement_axis,magic,X,0.0,0.0
E2,entanglement_axis,entanglement,E,0.14978058579186138,0.45200017392462205
E2,entanglement_axis,entanglement,M,0.18159226411513793,0.5479998260753779
E2,entanglement_axis,entanglement,X,0.0,0.0
E3,entanglement_axis,magic,E,0.0,0.0
E3,entanglement_axis,magic,M,4.144832625267238e-18,2.1004857602606682e-17
E3,entanglement_axis,magic,X,0.1973273374989635,1.0
E3,entanglement_axis,entanglement,E,0.24556029644971464,0.48617666891436284
E3,entanglement_axis,entanglement,M,0.0,0.0
E3,entanglement_axis,entanglement,X,0.25952419680261096,0.5138233310856372
E4,entanglement_axis,magic,E,0.0,0.0
E4,entanglement_axis,magic,M,0.0,0.0
E4,entanglement_axis,magic,X,0.0,0.0
E4,entanglement_axis,entanglement,E,0.6666666666666641,1.0
E4,entanglement_axis,entanglement,M,0.0,0.0
E4,entanglement_axis,entanglement,X,0.0,0.0
E5,entanglement_axis,magic,E,6.987003568307651e-17,6.417500614096487e-16
E5,entanglement_axis,magic,M,0.09871939626643564,0.9067288716392272
E5,entanglement_axis,magic,X,0.01015482110348884,0.09327112836077214
E5,entanglement_axis,entanglement,E,0.46067617922489207,0.5036490725388718
E5,entanglement_axis,entanglement,M,0.4526443068550753,0.49486796934266336
E5,entanglement_axis,entanglement,X,0.0013564275548470968,0.001482958118464824
I11,interior,magic,E,0.0,0.0
I11,interior,magic,M,-2.1701159388006394e-16,1.6295512788035607e-15
I11,interior,magic,X,0.13317260813013293,0.9999999999999983
I11,interior,entanglement,E,0.04801871021073588,0.4936624416277512
I11,interior,entanglement,M,-1.1146639167236572e-16,1.1459443794080203e-15
I11,interior,entanglement,X,0.04925162304047101,0.5063375583722477
I12,interior,magic,E,-0.00436148505842288,0.02207330507765642
I12,interior,magic,M,0.1889643060591416,0.9563409528082476
I12,interior,magic,X,-0.004265147035044511,0.021585742114096005
I12,interior,entanglement,E,0.10458936698074482,0.49653121902873937
I12,interior,entanglement,M,0.10605069546151431,0.5034687809712596
I12,interior,entanglement,X,-2.1730765335329729e-16,1.0316539543035202e-15
