K,gate_1_based,gate_0_based,gate_name,mean_phi,std_phi,num_runs,run_values
1,2,1,P,0.005604166556984558,0.004836515990119617,5,"[0.007426196083185012, 0.004883645456573248, 0.0024027413819329504, 0.013748719494892779, -0.0004404696316611964]"
1,4,3,P,0.0010699469796961155,0.0026429236900884796,5,"[0.0006148523138819945, -0.003391357898894149, 0.0029898954627787127, 0.0007461799027389968, 0.004390165117975023]"
1,5,4,CX,9.414453217265975e-05,0.005672351682346824,5,"[0.007019489890276236, -0.007153307738422999, 0.006495681794964204, -0.0022627532154880213, -0.0036283880704661214]"
1,6,5,P,-0.0014756027189682672,0.0016884598667849288,5,"[-0.0012522729071159807, -0.0008955717612242737, -0.004665042216051042, 0.0003689584554153071, -0.0009340851658653468]"
1,7,6,CX,0.015092770792530463,0.0043497359021126905,5,"[0.014712458176727786, 0.020996229463045794, 0.011050075244848247, 0.00976090661662129, 0.018944184461409202]"
1,8,7,H,0.012005070430718651,0.0031092700235797934,5,"[0.010212489708071133, 0.01820747857099404, 0.01083317316836107, 0.010526014204075904, 0.01024619650209111]"
1,9,8,P,0.0038613227941912014,0.003878627224201606,5,"[0.0062492054802083235, -0.0034478290264374307, 0.003189553875986654, 0.006677217744063033, 0.006638465897135428]"
1,10,9,H,0.009551137795229947,0.005039304648033091,5,"[0.003963698466394568, 0.009392709032836627, 0.006832265383799865, 0.008659535189783163, 0.01890748090333552]"
1,11,10,P,-0.00012722871046878743,0.0029284996981374703,5,"[-0.00025006579805159686, -0.002631452783255317, -0.004032832672322806, 0.0031760236741820397, 0.0031021840271037437]"
1,12,11,CX,0.004428604970555425,0.0036612601441619163,5,"[-0.0008395102092692604, 0.007483789910314781, 0.0009556027328324998, 0.008196308479677951, 0.006346833939221154]"
1,13,12,P,0.002972824918769404,0.002295095875814481,5,"[0.0037849833176064715, 0.0022555767728530676, 0.00016008485278259991, 0.006935436534126104, 0.0017280431164787776]"
1,14,13,CX,0.003895367675268367,0.0032918799040661385,5,"[0.0009186967910096345, 0.006617039223793479, -0.0010441649915911059, 0.006383691919708448, 0.006601575433421379]"
1,15,14,RY,0.004147896665030444,0.0034950505699486937,5,"[0.000645944241693069, 0.0033805995797832234, 0.002645086544646905, 0.010861961380219897, 0.003205891578809128]"
1,16,15,RY,0.008943640347366824,0.0032348507546806544,5,"[0.00791029736479919, 0.007250161898776168, 0.00588682767617479, 0.015175840208051414, 0.008495074589032557]"
1,17,16,CX,0.009243619886148288,0.004143536587535662,5,"[0.0037258661058286913, 0.013977553456589905, 0.004872775048662821, 0.012368297348154773, 0.011273607471505258]"
1,18,17,RY,0.006780740246718428,0.004646189145808045,5,"[0.008311313419263128, 0.0036098908731277742, 0.012918984777545103, -0.00035416872513170964, 0.009417680888787847]"
